,agency,firename,lat,lon,startdate,hectares,stage_of_control,timezone,timestamp
306,qc,261,49.5064,-69.6569, 2023-06-01 20:27:00,2113.6, OC, EDT,2023-06-04 20:38:39
307,qc,215,50.3747,-66.3844, 2023-05-31 05:00:00,807.0, OC, EDT,2023-06-04 20:38:39
308,on,SUD_FIRE_012,46.7315,-82.0463, 2023-06-02 23:21:00,0.1, UC, GMT,2023-06-04 20:38:39
309,qc,402,48.7511,-76.4647, 2023-06-04 13:34:00,8000.0, OC, EDT,2023-06-04 20:38:39
310,mb,EA031,51.9967,-96.52, 2023-06-03 05:00:00,0.1, OC, CDT,2023-06-04 20:38:39
311,mb,EA032,52.3342,-96.8942, 2023-06-03 05:00:00,0.2, UC, CDT,2023-06-04 20:38:39
312,mb,EA033,52.1478,-96.6208, 2023-06-03 05:00:00,3.0, OC, CDT,2023-06-04 20:38:39
313,mb,EA034,52.8786,-96.5647, 2023-06-03 05:00:00,5.0, OC, CDT,2023-06-04 20:38:39
314,mb,EA035,52.1258,-96.7306, 2023-06-03 05:00:00,0.3, OC, CDT,2023-06-04 20:38:39
315,qc,357,52.8964,-73.4064, 2023-06-01 21:00:00,100.0, OC, EDT,2023-06-04 20:38:39
316,qc,374,47.2933,-73.6189, 2023-06-02 21:00:00,35.4, BH, EDT,2023-06-04 20:38:39
317,qc,403,47.7717,-76.6992, 2023-06-03 02:22:00,54.0, OC, EDT,2023-06-04 20:38:39
318,on,CHA_FIRE_006,48.166,-83.8425, 2023-06-04 14:52:00,101.0, OC, GMT,2023-06-04 20:38:39
319,on,RED_FIRE_015,51.4043,-93.7497, 2023-06-04 14:36:00,0.1, OC, GMT,2023-06-04 20:38:39
320,on,KEN_FIRE_017,50.0821,-93.7931, 2023-06-03 22:49:00,1.7, OC, GMT,2023-06-04 20:38:39
321,qc,275,48.6556,-72.8678, 2023-06-01 19:00:00,468.9, OC, EDT,2023-06-04 20:38:39
322,bc,2023-V70600,49.2832,-124.615, 2023-06-04 07:53:00,0.5, OC, PDT,2023-06-04 20:38:39
323,sk,23LX-CENTIPEDE,56.258,-107.312, 2023-06-02 20:33:39,100.0, OC, CST,2023-06-04 20:38:39
324,qc,338,49.1722,-70.8306, 2023-06-01 21:06:00,0.1, OC, EDT,2023-06-04 20:38:39
325,on,SLK_FIRE_010,52.2171,-90.7581, 2023-05-31 00:59:00,15.0, BH, GMT,2023-06-04 20:38:39
326,qc,326,49.66,-69.9722, 2023-06-02 01:00:00,299.2, OC, EDT,2023-06-04 20:38:39
327,qc,405,49.7608,-69.0528, 2023-06-04 05:00:00,0.0, OC, EDT,2023-06-04 20:38:39
328,ab,HWF-030-2023,58.468,-114.484, 2023-05-02 21:29:00,95339.0, OC, MDT,2023-06-04 20:38:39
329,qc,286,49.3461,-67.9683, 2023-06-01 23:58:00,5.3, BH, EDT,2023-06-04 20:38:39
330,qc,312,49.0308,-76.5067, 2023-06-01 23:23:00,23817.9, OC, EDT,2023-06-04 20:38:39
331,qc,406,48.9331,-79.0533, 2023-06-04 16:31:00,0.5, UC, EDT,2023-06-04 20:38:39
332,on,SUD_FIRE_018,46.6076,-82.3246, 2023-06-04 15:33:00,0.1, OC, GMT,2023-06-04 20:38:39
333,qc,398,46.8258,-76.9883, 2023-06-01 22:09:00,0.3, OC, EDT,2023-06-04 20:38:39
334,ab,MNZ-001-2023,58.0639,-112.669, 2023-06-03 15:24:00,2595.0, OC, MDT,2023-06-04 20:38:39
335,qc,355,53.0083,-78.8156, 2023-06-01 22:00:00,52.9, BH, EDT,2023-06-04 20:38:39
336,ab,MWF-030-2023,59.2466,-110.953, 2023-06-04 16:25:00,10.0, OC, MDT,2023-06-04 20:38:39
337,bc,2023-V10597,49.3383,-121.843, 2023-06-04 02:52:00,0.5, OC, PDT,2023-06-04 20:38:39
338,bc,2023-R50580,54.5691,-128.461, 2023-06-03 13:41:00,1.4, BH, PDT,2023-06-04 20:38:39
339,bc,2023-N40596,52.0428,-118.654, 2023-06-04 01:42:00,200.0, OC, PDT,2023-06-04 20:38:39
340,on,SUD_FIRE_019,46.7506,-81.9973, 2023-06-04 16:40:00,0.1, OC, GMT,2023-06-04 20:38:39
341,on,SUD_FIRE_017,46.6328,-82.2622, 2023-06-04 14:35:00,45.0, OC, GMT,2023-06-04 20:38:39
342,on,NOR_FIRE_004,47.1065,-80.3249, 2023-06-03 21:25:00,0.3, UC, GMT,2023-06-04 20:38:39
343,on,SUD_FIRE_011,46.5866,-81.8164, 2023-06-02 23:10:00,7.0, OC, GMT,2023-06-04 20:38:39
344,on,SUD_FIRE_010,46.5705,-81.8123, 2023-06-02 23:03:00,3.5, OC, GMT,2023-06-04 20:38:39
345,qc,297,48.1811,-76.9086, 2023-06-01 22:55:00,12369.5, OC, EDT,2023-06-04 20:38:39
346,ab,MWF-031-2023,59.9194,-111.492, 2023-06-04 16:56:00,1.5, OC, MDT,2023-06-04 20:38:39
347,qc,350,48.1411,-75.3106, 2023-06-01 22:51:00,342.0, OC, EDT,2023-06-04 20:38:39
348,qc,364,49.7442,-77.7639, 2023-06-03 00:15:00,0.4, UC, EDT,2023-06-04 20:38:39
349,qc,249,49.3578,-71.0489, 2023-06-01 20:00:00,4851.8, OC, EDT,2023-06-04 20:38:39
350,qc,265,49.4403,-71.5572, 2023-06-01 20:30:00,2128.7, OC, EDT,2023-06-04 20:38:39
351,ab,EWF-054-2023,53.8247,-116.867, 2023-06-03 21:13:00,0.9, BH, MDT,2023-06-04 20:38:39
352,qc,334,50.4528,-74.1314, 2023-06-01 15:00:00,5704.9, OC, EDT,2023-06-04 20:38:39
353,qc,408,49.6006,-71.6014, 2023-06-01 19:30:00,348.5, OC, EDT,2023-06-04 20:38:39
354,qc,409,51.2853,-62.4097, 2023-06-01 11:00:00,2.0, OC, EDT,2023-06-04 20:38:39
355,qc,410,49.3453,-71.4986, 2023-06-01 19:30:00,1453.9, OC, EDT,2023-06-04 20:38:39
